,title,contents,url,host,uid,leng title,leng contents,token title,token contents,top 1 words contents,top 2 words contents,top 3 words contents
0,policía aprehende a vladimir irahola villanueva presunto feminicida de vania,la policía informó que luego de un trabajo investigativo en poblaciones fronterizas del beni se ha logrado aprehender a vladimir irahola villanueva principal acusado del feminicidio de su pareja vania trujillo crimen ocurrido en febrero en la ciudad de la paz.“informamos a la población que después de un arduo trabajo investigativo en poblaciones fronterizas del beni nuestros servidores policiales procedieron a la aprehensión de vladimir irahola villanueva principal acusado del feminicidio de su esposa vania trujillo” se lee en el comunicado de la policía en sus redes sociales.el caso cobró relevancia después de que la activista maría galindo protestó en el estado mayor y la fiscalía reclamando que se había dejado escapar a vladimir irahola presunto autor del feminicidio de vania trujillo.el feminicidio se registró el 18 de febrero. según las investigaciones el autor del crimen quiso fingir que la víctima había fallecido por ingerir una sustancia tóxica pero se evidenció que fue estrangulada.el padre del presunto feminicida de profesión militar fue aprehendido y enviado a la cárcel acusado de haber ayudado a escapar a su hijo.con el pasar de los días las investigaciones se volcaron al beni donde vive un amigo del principal sospechoso quien aparentemente sabía del crimen y cobijó al presunto feminicida por lo cual fue aprehendido.vladimir irahola se comunicó con su amigo moisés quien se encontraba en beni y le contó que le quitó la vida a su pareja. el amigo le pidió fotos y ambos se enviaron audios. “por eso que se llega a estas conversaciones y se tiene la aprehensión de moisés vaquero que sería el amigo a quien denominaba ‘yunta o bro’” afirmo la coordinadora de la fiscalía de la paz nilda callevania trujillo fue asesinada el 18 de febrero en la zona de bajo san antonio de la ciudad de la paz presuntamente en manos de su concubino vladimir de quien se presume que le puso en la boca un líquido usado para limpiar hornos y de esa forma hacer creer que la joven se suicidó sin embargo tras la autopsia se develó que el deceso fue por estrangulamiento./hnf/,https://lapatria.bo/2022/03/23/policia-aprehende-a-vladimir-irahola-villanueva-presunto-feminicida-de-vania/,lapatria.bo,57e927df02d32b98814406604e0e832f,76,2087,8,193,"('beni', 4)","('vladimir', 4)","('irahola', 4)"
1,rally vuelta a marbán: aprehenden a corredor que atropelló a un menor,el motociclista que atropelló a un menor de edad en el rally vuelta a marbán fue aprehendido informó el director de tránsito del beni coronel marcos céspedes.el conductor fue identificado como antonio chemo cuellar de 33 años de edad arrolló al menor la tarde de este domingo cuando cruzaba la ruta del rally en la población de sachojere.la competencia fue organizada por novena vez por la asociación beniana de motociclismo y sus representantes aseguraron que están al pendiente del estado de salud tanto del menor como del motociclista.céspedes detalló que el conductor sufrió un tec leve y fractura de falange de tercer grado en la mano derecha y está internado en una clínica privada reportó la red erbol.“él (chemo) también se encuentra internado pero además se encuentra aprehendido por disposición del ministerio público” señaló.el diagnóstico del menor es reservado sin embargo se conoce que fue intervenido quirúrgicamente en el hospital obrero. sufrió un fuerte golpe en la cabeza y tiene una de sus piernas fracturadas.el caso fue clasificado por la dirección de tránsito como atropello a peatón en competencia deportiva.“sí se debe investigar porque hay lesiones gravísimas o graves y obviamente en el transcurso de la investigación se van a determinar las situaciones que se vayan a seguir posteriormente. no porque nosotros hayamos visto que no hay responsabilidad se va a dejar de investigar se tiene que investigar y si el caso amerita obviamente se va a archivar y se va a rechazar” manifestó el coronel./jdlf/,https://lapatria.bo/2022/03/21/rally-vuelta-a-marban-aprehenden-a-corredor-que-atropello-a-un-menor/,lapatria.bo,38627075644f3e58c9cf8ae402d5652e,69,1527,7,132,"('menor', 4)","('investigar', 3)","('va', 3)"
2,"la paz: envían a la cárcel a militar acusado de ayudar a escapar a su hijo, presunto feminicida de vania",el teniente coronel del ejército iván l.i. padre del presunto feminicida de vania t. b fue enviado a la cárcel de san pedro de la ciudad de la paz con detención preventiva mientras duran las investigaciones del caso.el plazo de la detención preventiva es de cinco meses mientras se realiza la investigación informó el coronel jhonny vega director de la fuerza especial de lucha contra la violencia (felcv).“el militar está acusado de autoría mediata en el caso puesto que habría ayudado a la fuga de su hijo” indicó el coronel vega.el caso de feminicidio de vania fue registrado el 18 de febrero. según la investigación el presunto autor vladimir i.v. hijo del militar detenido habría dicho que la víctima falleció por ingerir una sustancia tóxica pero se evidenció que fue estrangulada.el pasado viernes el militar fue aprehendido y se realizó un allanamiento en su domicilio en la cual se secuestraron dos celulares informó el coronel vega.la policía continúa en la búsqueda del prófugo vladimir i.v./hnf/,https://lapatria.bo/2022/03/21/la-paz-envian-a-la-carcel-a-militar-acusado-de-ayudar-a-escapar-a-su-hijo-presunto-feminicida-de-vania/,lapatria.bo,101ab6d3a2944285f73df6c296524788,104,1007,12,98,"('coronel', 4)","('militar', 3)","('presunto', 2)"
11,ucrania confirma el intercambio de prisioneros de guerra con rusia,autoridades de ucrania confirmaron este jueves el primer intercambio de prisioneros con rusia después de un mes que iniciara el conflicto entre ambas naciones.irina vereschuk vice primera ministra de ucrania anunció que se hizo la entrega de diez capturados rusos a cambio de la misma cantidad de militares de su país según una publicación de la agencia de noticias unian.además las autoridades ucranianas también han intercambiado a 11 marineros rusos que fueron capturados en un barco hundido cerca de odesa por 19 marineros suyos atrapados en la isla de las serpientes.por su parte el ministro de exteriores de rusia informó el miércoles reciente que hasta la fecha ya se hizo dos intercambios con ucrania.el primer intercambio ocurrió la semana pasada en moscú cuando liberaron al alcalde la ciudad de melitopol ivan fedorov a cambio de una decena de militares rusos./abh,https://lapatria.bo/2022/03/24/ucrania-confirma-el-intercambio-de-prisioneros-de-guerra-con-rusia/,lapatria.bo,8f87385f9d00051d0e57a6c3e4df8ec3,66,875,6,82,"('autoridades', 2)","('ucrania', 2)","('primer', 2)"
15,ministro del castillo descarta su renuncia y asegura que asistirá a interpelación,el ministro de gobierno eduardo del castillo afirmó que no presentó ni presentará su renuncia al cargo como circuló en redes sociales además dijo que asistirá a la interpelación que fue anunciada por diputados del mas.el ministro en pasados días fue duramente cuestionado y criticado por varios sectores del mas entre ellos cocaleros del trópico y juntas vecinales de el alto que pidieron desde su renuncia hasta su interpelación en el legislativo.«cuando termine mi informe ante esta comisión anunciaron que realizarán una interpelación conforme a norma que es un instrumento de fiscalización que tienen las autoridades de la asamblea» dijo del castillo a los medios de la paz.como autoridad de gobierno «siempre brindaremos los informes transparentes como corresponde» dijo del castillo quien afirmó que es totalmente falso que presentará una carta de renuncia como circuló en redes sociales y en algunos portales informativos.el ministro fue cuestionado por realizar denuncias ante los medios de comunicación respecto a que habrían dirigentes y diputados cocaleros que se «llenan los bolsillos» con la producción de la hoja de coca. del castillo pidió disculpas y aseveró que se refirió a un diputado de la zona de los yungas y no a los del trópico de cochabamba.desde el mas consideraron «insuficientes» las explicaciones que realizó del castillo y legisladores adelantaron que interpelarán al ministro en la asamblea legislativa y que ahí se definirá su futuro como ministro.«se ha hecho una evaluación en la cual definieron nuestros senadores y diputados en su mayoría que no es satisfactorio el informe del ministro por tanto por una decisión de las mayorías se ha definido una interpelación» comunicó el martes pasado el jefe de la bancada del mas en diputados gualberto arispe.“la bancada de la paz se ha manifestado cursa una interpelación” afirmó el diputado gualberto arispe de acuerdo a anf.mientras que su colega por cochabamba jhonny pardo confirmó que “se ha hecho una convocatoria y ahí van a exigir la explicación correspondiente y van a querer conocer a aquellos dirigentes y diputados que supuestamente se han enriquecido con la hoja de coca”./hnf/,https://lapatria.bo/2022/03/24/ministro-del-castillo-descarta-su-renuncia-y-asegura-que-asistira-a-interpelacion/,lapatria.bo,fe3a313e00776b77f4284f496433f469,81,2168,7,181,"('ministro', 5)","('castillo', 5)","('diputados', 5)"
16,copa y arias afirman que evo es un problema para el país y que su ciclo ha terminado,“se terminó el ciclo de evo morales en el movimiento al socialismo (mas)” afirmaron este jueves la alcaldesa de el alto y su homólogo de la paz iván arias ambos coincidieron que el expresidente se convierte en un problema para su partido y el país ya que este genera confrontación.“ha sido un expresidente un líder indígena lo hemos respaldado pero creo que su ciclo ha concluido creo que tiene que dar paso a nuevas generaciones debe dejar que el presidente luis arce haga su gestión que está tratando de levantar la economía del país. pero cada vez que interviene (evo morales) lamentablemente hace que haya mayor susceptibilidad y que el mas esté cada vez quebrándose más” señaló la autoridad alteña.en tanto el alcalde de la paz vaticinó la fragmentación del mas como sucedió con el movimiento nacionalista revolucionario en 1960. dijo que en el partido azul hay tensiones evidentes por nuevas facciones que piden el retiro de los “históricos”.“evo morales es un problema hace tiempo no sólo para el mas sino para el país. es empresario exporta tambaquí (un tipo de pescado) haría bien asociarse a la cámara de exportadores (y) recibir su pensión vitalicia cumplió su rol bien o mal pero él se aferra. hay que saber entender que tu ciclo ya fue y podrías retirarte no sólo es un problema para el partido azul sino para el país porque nos lleva a una agenda de confrontación” dijo la máxima autoridad edil de la paz.el liderazgo de evo morales en el mas es cuestionado por varias voces internas y generó fricciones cuando el diputado rolando enríquez cuéllar y la dirigente angélica ponce denunciaron una dictadura sindical con presunta violencia política hacia las mujeres según reportó el diario los tiempos.para copa hay muchas corrientes ideológicas en el mas y sugiere que se limen asperezas internas porque “no le están haciendo bien a su partido lo están matando con sus intereses hay mucha gente que ha apostado a este gobierno” detalló.la alcaldesa de el alto afirmó que apoya al gobierno de luis arce y no así al partido político que dirige evo morales porque “lamentablemente con las actitudes que toman con revanchismo que hacen expulsando a diestra y siniestra queriendo intimidar no es correcto”.la ejecutiva alteña lamentó que en el mas persista el machismo y acoso político recordó que cuando fue senadora sufrió agresión por parte de eduardo del castillo quien era funcionario del senado antes que asuma el ministerio de gobierno.“hombres y mujeres somos iguales y tenemos que tener las mismas oportunidades. el hecho que las mujeres estemos en el ámbito político no quiere decir que nos vengan a intimidar y que nos manden a la cocina más bien deberían ir ellos a aprender eso” agregó copa./rxvch/,https://lapatria.bo/2022/03/24/copa-y-arias-afirman-que-evo-es-un-problema-para-el-pais-y-que-su-ciclo-ha-terminado/,lapatria.bo,a88ba0ba8d8e4f24d172e315b0ecf498,84,2718,8,263,"('mas', 6)","('morales', 5)","('partido', 5)"
18,senador del mas propone declarar la dinamita como «patrimonio cultural»,hilarión mamani senador del movimiento al socialismo (mas) por potosí presentó un proyecto de ley para que se declare a la dinamita como «patrimonio cultural e inmaterial» junto con el ‘guardatojo’ quien considera que no es un arma para matar.el argumento del legislador sostiene que ambos elementos son símbolos de la resistencia y lucha histórica de los mineros en defensa de la democracia y los recursos naturales. el proyecto fue remitido a una comisión de la cámara alta para su análisis.“en diferentes centros mineros en carnaval hacemos estallar la dinamita para ch’allar a los tíos esa es una costumbre de nuestros ancestros. es un símbolo y por eso hemos presentado el proyecto de ley seguro evaluarán los diputados y senadores” dijo a el deber el asambleísta.ante los cuestionamientos por las muertes y heridos ocasionados por la dinamita mamani enfatizó que ese elemento no se utiliza para quitar la vida. “en las marchas se ha utilizado simbólicamente no para botar a las personas. no podemos agredir no es para matar gente la dinamita” enfatizó.sin embargo en el país sigue vigente la ley 400 de control de armas de fuego municipios explosivos y otros materiales relacionados que prohíbe el uso de explosivos en manifestaciones por las consecuencias fatales que hubo en el pasado.por ejemplo en 2012 en el que sucedieron enfrentamientos con cachorros de dinamita en la protesta de los mineros cooperativistas en agosto de 2016 cuando fue asesinado el viceministro rodolfo illanes en la carretera que une a la paz con oruro./abh,https://lapatria.bo/2022/03/24/senador-del-mas-propone-declarar-la-dinamita-como-patrimonio-cultural/,lapatria.bo,9b6a73c3ced43b905a5897dead72ff12,71,1540,7,132,"('dinamita', 4)","('proyecto', 3)","('ley', 3)"
19,bajan el precio de la harina en tarija,la unidad de defensa al consumidor en tarija indicó este jueves que el precio de la harina bajó entre diez a 20 bolivianos situación que se evidenció tras operativos de control en el mercado campesino donde se comercializa la harina de distintas marcas al por mayor pero principalmente de industria argentina.“satisfactoria y felizmente pudimos verificar una reducción en el precio de la harina” mencionó la responsable de la unidad de defensa del consumidor en tarija zulma sandoval.asimismo indicó que la harina la manteca y el azúcar registraron un incremento sustancial de precio desde aproximadamente dos semanas atrás por la guerra entre rusia y ucrania. solo la harina subió de 170 hasta los 240 y 250 bolivianos.mediante los operativos de control efectuado ayer por defensa del consumidor y la intendencia municipal en el mercado campesino las vendedoras del mercado campesino reportaron que el quintal de harina santa marta está 205 bolivianos la milca 210 y estrella 220. mientras que el aceite grano de oro tiene un costo de 47 bolivianos informó.la responsable de defensa al consumidor recomendó a los comerciantes para que no especulen con la harina ni otros insumos de primera necesidad ya que de ser encontrados serán pasibles a sanción y posterior inicio de un proceso penal por agio y especulación./ svl ,https://lapatria.bo/2022/03/24/bajan-el-precio-de-la-harina-en-tarija/,lapatria.bo,cf95a5c49922935a4ada9632c6c6d6d9,38,1321,4,120,"('harina', 6)","('defensa', 4)","('consumidor', 4)"
20,al menos bs. 181 millones están disponibles para el censo de población y vivienda 2022,la suma de 181 millones de bolivianos están disponibles para la ejecución del censo de población y vivienda 2022 previsto para el 16 de noviembre de este año informó hoy el director ejecutivo del instituto nacional de estadística (ine) humberto arandia.el ejecutivo del ine durante la socialización de esa actividad en la ciudad de santa cruz informó que de los 181 millones de bolivianos bs. 65 millones serán destinados para realizar consultorías y bs. 116 millones serán empleados para la adquisición de bienes y servicios. este primer monto fue aprobado mediante el decreto 4664 del 26 de enero de 2022 y el segundo a través del ministerio de economía.“en este momento se cuenta con un presupuesto ya asignado al instituto nacional de estadística que garantiza a través de un esfuerzo del gobierno nacional la ejecución del proceso censal” explicó.afirmó arandia que mediante el apoyo del ministerio de planificación del desarrollo se tramitan recursos adicionales a través de organismos internacionales que integrarán ese financiamiento para asegurar la ejecución del censo en cada una de sus etapas.“el proceso censal será llevado adelante por los mejores técnicos que existe en el país y será ejecutado con toda la seriedad que amerita” afirmó arandia quien ratificó que la actividad es de prioridad nacional.para llevar más allá el proceso censal se logró formar una comisión de alto rango compuesta por las naciones unidas cepal celade y el banco interamericano de desarrollo (bid) fonplata el banco mundial y el fondo de población de las naciones unidas.“(estas) instituciones internacionales altamente especializadas en la temática censal cuya participación a través del comité va a permitir garantizar la idoneidad transparencia pero sobre todo la calidad a través del cumplimiento de estándares internacionales mínimos de este proceso censal” determinó la autoridad./abh,https://lapatria.bo/2022/03/24/al-menos-bs-181-millones-estan-disponibles-para-el-censo-de-poblacion-y-vivienda-2022/,lapatria.bo,6c52045f5ec9d35a287c794f048fcdb6,86,1883,9,173,"('través', 5)","('millones', 4)","('proceso', 4)"
21,italia sin chance de clasificar al mundial de catar tras derrota ante macedonia,este jueves se disputaron cuatro partidos correspondientes a la primera parte del repechaje para alcanzar los dos últimos boletos para el mundial de catar 2022 en la zona europea. en la ocasión italia no pudo ante macedonia del norte perdió por 1-0 y con ello marcó su eliminación de la competencia.italia a pesar de jugar de local este partido -estadio “renzo barbera” de la ciudad de palermo- no tuvo la eficacia necesaria como para batir el arco del conjunto visitante si bien tuvo llegadas no pudo concretar. eso ocurrió en los 90 minutos y cuando se jugaban los descuentos 92 del compromiso aleksandar trajkovski anotó el único gol del partido en favor de macedonia del norte después de ello los italianos intentaron la igualdad pero el tiempo era corto apenas 5 minutos de adición.con este resultado macedonia del norte jugará la otra fase en este repechaje contra portugal mientras que italia queda fuera de competencia.en la otra llave de esta serie portugal no tuvo problemas para vencer a turquía por 3 golea a 1 con anotaciones de otávio a los 15 de juego diogo jota a los 42 y matheus nunes a los 92 el descuento fue obra de burak yilmaz a los 65. con este resultado el equipo de cristiano ronaldo avanza mientras que turquía se queda en el camino.en otras llaves de esta fase de repechaje gales venció a australia por 2 a 1 con goles de gareth bale a los 25 y 31 descontó marcel sabitzer a los 64. por su parte suecia dio cuenta de republica checa con gol anotado por robin quaison a los 110 de juego este partido se definió en tiempo suplementario.el partido entre escocia y ucrania fue suspendido mientras que el choque entre rusia y polonia ya no se jugará por decisión de la uefa en este caso el clasificado sin jugar será polonia.los partidos de la siguiente ronda de esta fase de repechaje europeo se disputarán el martes 29 de marzo portugal con macedonia del norte polonia con suecia y gales con el ganador del partido escocia-ucrania.,https://lapatria.bo/2022/03/24/italia-sin-chance-de-clasificar-al-mundial-de-catar-tras-derrota-ante-macedonia/,lapatria.bo,c71502c5fc0fc843daa2b5610d3f3109,79,1956,7,195,"('partido', 5)","('repechaje', 4)","('macedonia', 4)"
