,title,contents,url,host,uid,leng title,leng contents,token title,token contents,top 1 words contents,top 2 words contents,top 3 words contents
0,sesión en la alp es suspendida debido a un nuevo “bochorno”,debido a gritos insultos y hasta hechos de violencia entre los parlamentarios la sesión en la asamblea legislativa plurinacional (alp) para determinar el reglamento y convocatoria para nuevo defensor del pueblo fue suspendida este miércoles.la sesión se tornó tensa luego de que opositores protestaron en demanda de que el reglamento sea aprobado por dos tercios reportó la red erbol.la senadora de comunidad ciudadana (cc) andrea barrientos criticó la situación calificándola como una “locura”.“estamos como las barras bravas de méxico ¿qué hacemos? ¿en qué tipo de locura vamos a entrar?” aseveró.asimismo reconoció que fue una sesión “vergonzosa” criticando la violencia en los parlamentarios. “no hay nada que justifique la violencia y nosotros como parlamentarios nacionales no podemos entrar en la lógica la violencia” afirmó.por otro lado denunció que una diputada del movimiento al socialismo (mas) la escupió con coca y la golpeó.respecto a su protagonismo de empujones contra una legisladora oficialista barrientos indicó que la diputada del mas de santa cruz le quitó un cartel a su colega de cc samanta nogales.anunció que se presentarán las denuncias respectivas incluso en la vía penal contra la diputada del mas“la ha golpeado y pateado en el piso. todo está documentado” añadió.desde el mas el senador luis flores manifestó que siente vergüenza de lo que ocurre en el asamblea.lamentó las agresiones registradas y subrayó que por reglamento en las sesiones no pueden estar los parlamentarios en los pasillos ni gritando ni pitando. el oficialista aseveró que se debería hacer denuncias por la falta de “decoro” en la alp.  por otro lado manifestó que por constitución los dos tercios son para la selección del defensor del pueblo y no así para todo el procedimiento./jdlf/,https://lapatria.bo/2022/03/09/sesion-en-la-alp-es-suspendida-debido-a-un-nuevo-bochorno/,lapatria.bo,d3ec526cb0a2f54f6cdf274c8af72b88,59,1788,6,158,"('parlamentarios', 4)","('violencia', 3)","('sesión', 3)"
1,covid-19: salud autoriza cuarta dosis para personas con enfermedades de base,la cuarta dosis de la vacuna contra el covid-19 fue autorizada en el país para personas con enfermedades de base y para quienes requieran viajar al exterior anunció este miércoles el ministro de salud y deportes jeyson auza.explicó que los beneficiados deben cumplir con la tercera dosis es decir el esquema completo.en tanto el responsable del programa ampliado de inmunización (pai) max enríquez señaló que la priorización de la cuarta dosis está enfocada al personal de salud y personas con enfermedades de base.asimismo para la policía boliviana indicando que está en la lucha contra la pandemia.“lo que estamos viendo es que tenemos que tomar en cuenta priorizaciones no es porque no queramos vacunar es porque tenemos poblaciones a las cuales tenemos que seguir incidiendo” resaltó.de acuerdo a los reportes del ministerio de salud hasta la pasada jornada se aplicaron 12.736.142 vacunas de las líneas sputnik-v astrazeneca sinopharm pfizer y janssen en todo el territorio nacional.de ese total 5.979.160 personas recibieron la primera dosis 4.671.967 la segunda 1.090.054 la tercera y 994.961 la dosis única.por departamentos santa cruz encabeza el registro de vacunados con el esquema completa hasta la tercera dosis con 267.396 seguido de la paz con 272.507 cochabamba 216.100 tarija 84.700 chuquisaca 81.098.las regiones con menor cobertura son potosí con 65.356 oruro con 51.460 beni con 34.781 y pando con 16.656./jdlf/,https://lapatria.bo/2022/03/09/covid-19-salud-autoriza-cuarta-dosis-para-personas-con-enfermedades-de-base/,lapatria.bo,1c1e2b11523724c6fdb5c7d7f9e6b557,76,1431,8,135,"('dosis', 6)","('personas', 3)","('salud', 3)"
2,comité cívico de el alto propone a lidia patty y maría galindo como defensoras del pueblo,mediante una conferencia de prensa el comité cívico de el alto propuso este miércoles a la exdiputada del movimiento al socialismo (mas) lidia patty y a la líder del colectivo mujeres creando maría galindo como defensoras del pueblo.“no es una política pero nosotros como una institución nueva hemos pensado que puede ser (defensora) lidia patty o la hermana maría galindo porque ha dicho la verdad de la justicia. esas personas sí pueden trabajar defender al pueblo” indicó el presidente del ente cívico alteño gregorio gómez.asimismo destacó la labor de ambas y señaló que en el caso de patty es conocida en las provincias ya que “está de gira a nivel bolivia” y sobre la activista de mujeres creando afirmó que “baja a las instituciones” a defender a distintos sectores de la sociedad civil.“lidia patty conoce las provincias está girando a nivel bolivia por eso la hermana lidia patty. maría igual está haciendo un buen trabajo está bajando a las instituciones para defender a diferentes sectores a las familias más humildes la familia media la familia alta todas las clases sin discriminación a nadie por la unidad y la igualdad del pueblo boliviano” agregó gómez.patty fue diputada por el mas durante la gestión gubernamental de jeanine añez a quien ahora le sigue el proceso por el caso del supuesto “golpe de estado” acusándola de presunta sedición terrorismo y conspiración junto a dos de sus exministros.en el caso de galindo es líder del colectivo mujeres creando y se destacó por poner en evidencia la administración corrupta del sistema judicial en casos referidos a la violencia de género según reportó el diario página siete./rxvch/,https://lapatria.bo/2022/03/09/comite-civico-de-el-alto-propone-a-lidia-patty-y-maria-galindo-como-defensoras-del-pueblo/,lapatria.bo,598f634a37496aec77234ecc38f642d5,89,1647,10,159,"('patty', 5)","('lidia', 3)","('mujeres', 3)"
3,legislativo inicia debate sobre reglamento para elegir al nuevo defensor del pueblo,el reglamento de selección y designación del defensor del pueblo que fue aprobado en días precedentes por la mayoría del movimiento al socialismo (mas) en la comisión mixta de constitución y justicia plural comenzó a ser debatido en el legislativo.la sesión se reinstaló con cierta demora debido a un error procedimental porque no se constató el quórum necesario. comenzó el análisis con 118 diputados y 34 senadores.el encuentro de diputados y senadores comenzó con “cierta tensión” debido a que el debate se centra en las peticiones realizadas por la oposición para garantizar la transparencia en el proceso.el senador por comunidad ciudadana (cc) rodrigo paz afirmó que siempre existe mucha discusión por lo que cuestionó si se efectuará un debate o un “engaño” reportó el diario el deber.“ustedes son capos para que estas asambleas se terminen con suficiente discusión entonces pregunto ¿habrá debate o engaño? el debate de hoy es establecer un reglamento que permita no tener más nadias cruz y tener más ana maría romero de campero ante un estado abusivo” afirmó.en tanto el vicepresidente david choquehuanca aseveró que es importate “escucharse” resaltando que se instaló la sesión con la mayoría absoluta.“es bien importante escucharnos la asamblea no se instala por dos tercios se instala por mayoría absoluta hemos dado un cuarto intermedio y estamos reanudando la sesión” sostuvo.las bancadas de cc y creemos exigen que el mas se comprometa a permitir que toda la labor se realice respetando los dos tercios en la votación esto con el propósito de no imponer a una persona afín al oficialismo.son varios aspectos que fueron observados del reglamento sin embargo resalta el artículo 15 el cual indica las restricciones para la participación en la convocatoria.“(no podrán participar) aquellas personas que hayan sido parte de gobiernos militares gobiernos de facto o de un gobierno que no haya cumplido la sucesión constitucional” señala el escrito.también se objeta el artículo 13 de verificación de requisitos condiciones y causales de inelegibilidad e incompatibilidad en el que se establece que la comisión mixta utilizará “criterios de sana crítica” para la revisión del cumplimiento de los requisitos.según criterio de la oposición no establecer un puntaje permitirá las ambigüedades en la calificación./jdlf/,https://lapatria.bo/2022/03/09/legislativo-inicia-debate-sobre-reglamento-para-elegir-al-nuevo-defensor-del-pueblo/,lapatria.bo,8aeed54e4806c1b8cb46e6afad2ae346,83,2324,9,204,"('debate', 4)","('reglamento', 3)","('mayoría', 3)"
4,policía gasifica a maestros que protestan en la paz por más ítems,durante la marcha que realiza la confederación de maestros de bolivia para pedir mayor presupuesto implementación de más ítems para el área educativa y otras demandas la policía utilizó agentes químicos para disipar a los educadores que intentaban llegar al centro paceño este miércoles.el enfrentamiento se generó aproximadamente a las 1100 horas apenas un par de horas antes que los representantes de maestros urbanos hayan anunciado que asistirían al diálogo convocado por el ministro de educación édgar pary.los maestros tomaron las calles de la ciudad paceña en demanda de más presupuesto e ítems a favor del rubro. no obstante la medida de presión se tornó conflictiva.tras los enfrentamientos se evidenció personas lastimadas incluso una docente estaba tendida en el piso sangrando mientras otros marchistas intentaban ayudarle.en imágenes difundidas en las redes sociales se ve cómo efectivos policiales arrestan a marchistas que reclamaban un supuesto exceso de fuerza en la intervención a la marcha que se había movilizado en demanda de más ítems.medios locales reportaron que los efectivos policiales utilizaron agentes químicos para dispersar la marcha cuando los grupos intentaron llegar al centro de la sede de gobierno.asimismo la movilización llegó hasta la calle potosí cerca de la plaza murillo. las protestas de profesores iniciaron el martes precedente con una marcha desde la ciudad de el alto.desde el gobierno informaron este martes que se está destinando 3.300 ítems para esta gestión e invitó a los maestros a dialogar esta jornada por la tarde./mdcb,https://lapatria.bo/2022/03/09/policia-gasifica-a-maestros-que-protestan-en-la-paz-por-mas-items/,lapatria.bo,4f95d5e4ac21242fd1a5b06ca4ef6051,65,1575,6,141,"('marcha', 4)","('maestros', 4)","('ítems', 3)"
5,¡grande benzema! real madrid pasa a cuartos de final de la champions league,todo comenzó con la mala decisión del entrenador del psg mauricio pochettino quien confió más en el portero italiano gianluigi donnarumma y no así en el experimentado keylor navas. al final el grueso error del portero del psg en el primer gol de real madrid posibilitó la levantada de los “merengues” con triplete de karim benzema para terminar venciendo por 3 a 1 revirtiendo el 0-1 de la ida 3-2 en el global en estos octavos de final de la champions league.real madrid comenzó con todo poniendo prácticamente contra la pared al psg sin embargo conforme pasaron los minutos el equipo parisino comenzó a manejar los hilos del partido e incluso se adelantó en el marcador con gol de kylian mbappé a los 39 de juego ventaja con la cual se fueron al descanso.en el segundo tiempo las cosas parecían marchar por el mismo camino con un psg dominante en el terreno de juego por la buena labor de messi y neymar sin embargo comenzó a aparecer la figura de benzema a los 61 de juego presionó al portero donnarumma y este se mandó una “chamboneada” entregando el balón a vinicius en el área chica este luego de un amague la dejó servida para el goleador de la noche quien no tuvo problemas para definir y colocar el marcador 1-1.ese tanto no solo despertó a los del real madrid sino más bien rompió los esquemas puesto que los del psg no la creían lo que estaba sucediendo en ese descontrol llegó el segundo de los “merengues” mediante benzema a los 76 de juego y dos minutos después nuevamente el francés marcó para real madrid el tercero que le significó remontar el marcador a su favor no hubo tiempo para más y al final es el cuadro español se anota para los cuartos de final de la champions league.manchester cityen otra de las llaves de octavos de final el manchester city recibió la visita del sporting de lisboa el partido terminó empatado 0-0 sin embargo es para tomar en cuenta que en el partido de ida ganó el cuadro inglés de visita 5-0 de manera que el global se mantuvo con ese marcador y es el city el que clasifica a los cuartos de final de esta competencia. la próxima semana se disputarán los otros cuatro encuentros de esta fase para ya conocer a los ocho equipos inmersos en los cuartos de final.,https://lapatria.bo/2022/03/09/grande-benzema-real-madrid-pasa-a-cuartos-de-final-de-la-champions-league/,lapatria.bo,e5f5598744162f10c4be25ab3083c62e,75,2208,9,213,"('final', 7)","('psg', 5)","('comenzó', 4)"
6,hospital del niño en la paz posterga cirugías por falta de recursos,debido a que el hospital del niño de la paz se quedó sin recursos del sistema universal de salud (sus) médicos advirtieron que deben postergar cirugías hasta por seis meses no existen medicamentos y las unidades de terapia intensiva solo tienen capacidad para atender hasta fin de mes.el director del hospital del niño alfredo mendoza reclamó la jornada anterior la retardación en la entrega de insumos por el gobierno.“estamos en marzo y hasta la fecha no tenemos ni siquiera el presupuesto y menos el desembolso de los recursos del sus. por tanto en estos meses no pudimos comprar medicamentos e insumos para la atención de los pacientes” declaró mendoza.según el galeno se hizo uso del 99.67 por ciento del dinero que recibió el hospital además mencionó que sobró 150 bolivianos del presupuesto de 2021 su setuvo una buena ejecución presupuestaria sin embargo ahora ya no tienen más dinero según reporte del diario página siete.los médicos aseguraron que el hospital no puede generar más ingresos debido a que el gobierno se comprometió en 2019 cuando inauguró el sus a entregar recursos anticipadamente y cada cuatro meses para la atención gratuita de pacientes que acuden al sistema público de salud.“nos asignaron un presupuesto de 196 millones de bolivianos para el sus y otros 36 millones para el sus cáncer. hasta la fecha no nos desembolsaron un quinto” reclamó el médico.debido al déficit económico solo uno de los cuatro quirófanos de dicho hospital funciona el jefe del departamento de cirugía cristián fuentes declaró que las cirugías se postergan hasta por seis meses“tenemos programaciones diferidas hasta más o menos a mediados de agosto. son (niños) que podíamos operarlos mañana pero no podemos hacerlo porque hay un solo quirófano y por tanto tenemos que diferir” explicó.los otros tres quirófanos no funcionan porque no existen recursos para el respectivo mantenimiento que requieren los equipos de anestesia y esterilización el galeno explicó que si algún equipo falla las enfermeras van hasta los hospitales vecinos a pedir colaboración.mendoza también se refirió al problema con los medicamentos manifestó que la terapia intensiva es uno de los servicios que más fármacos e insumos usa de forma diaria.“tenemos algunos medicamentos e insumos que son útiles para las uti pero si continuamos sin recursos la atención se verá afectada” concluyó el director del hospital./ lmpt,https://lapatria.bo/2022/03/09/hospital-del-nino-en-la-paz-posterga-cirugias-por-falta-de-recursos/,lapatria.bo,b27875a32a293aa3e085868d6592c064,67,2397,7,217,"('hasta', 7)","('hospital', 5)","('recursos', 5)"
7,banco de rusia restringe montos elevados de dólares a ciudadanos,desde el banco central de rusia (rb) se emitió un comunicado la mañana de este miércoles a través de su representante elvira nabiullina y se fijó un tope máximo diez mil dólares que pueden sacar de sus cuentas los ciudadanos rusos también se prohibió vender la moneda extranjera a sus clientes esta orden estará vigente hasta el 9 de septiembre.asimismo se remarcó que la medida no afectará al 90 por ciento de los rusos ya que nueve de cada diez cuentas en moneda extranjera en el país no superan el nivel de los diez mil dólares por lo cual los depósitos o cuentas en moneda extranjera podrían recibir la totalidad de sus fondos en divisas o efectivo.durante los seis meses de vigencia de esta orden los ciudadanos podrán continuar manteniendo fondos en depósitos o cuentas en moneda extranjera que seguirán contabilizándose en la divisa en la que se abrió la cuenta o el depósito conservando las condiciones así como el cálculo de los intereses de los depósitos.este decreto también prohibirá desde el día siguiente realizar “operaciones de cambio relacionadas con la provisión por parte de residentes a favor de no residentes de moneda extranjera” y transferir moneda extranjera a cuentas abiertas en bancos y otras organizaciones del mercado financiero fuera de rusia”.la nueva norma del banco central de la federación rusa se adoptó tras la decisión de la unión europea estados unidos y numerosos países más de imponer sanciones económicas a rusia por su invasión de ucrania el 24 de febrero que causó ya miles de muertos y más de dos millones de refugiados ucranianos./ svl,https://lapatria.bo/2022/03/09/banco-de-rusia-restringe-montos-elevados-de-dolares-a-ciudadanos/,lapatria.bo,ad85a146189858c4579ad09913588cbd,64,1580,7,146,"('moneda', 6)","('cuentas', 5)","('extranjera', 5)"
8,presidente de ucrania condena ataque ruso a un hospital,el presidente de ucrania volodímir zelenski condenó este miércoles los ataques aéreos sobre la ciudad de mariúpol que impactaron varias instalaciones médicas la autoridad calificó el hecho como “atrocidad”.el mandatario también reiteró el pedido a sus aliados de occidente para el despliegue de fuerzas y restricción de vuelo sobre territorio ucraniano.“hay gente niños bajo los escombros. ¿cuánto tiempo más seguirá el mundo siendo cómplice e ignorando el terror?… ¡declaren ahora mismo la zona de exclusión aérea! ¡detengan la matanza! tienen el poder pero parece que están perdiendo humanidad” manifestó zelenski según informó infobae.sin embargo desde bruselas y washington expresaron su rechazo a esta medida debido a que la declaración de zona de exclusión requiere que derriben naves rusas lo que representaría una confrontación directa entre potencias nucleares.las fuerzas armadas de ucrania denunciaron el ataque aéreo sobre mariúpol ciudad “clave” para las aspiraciones rusas de unir la península de crimea con los territorios del donbás.uno de los miembro de la administración militar regional de donetsk pavlo kirilenko informó que fueron atacados un hospital de maternidad un centro médico y otras instalaciones de salud asimismo manifestó que los rusos no solo cruzaron la línea de lo que es aceptable en las relaciones entre estados y pueblos sino que han cruzado la línea de la humanidad.ante estos hechos el ministro de exteriores ucraniano dimitro kuleba usó su cuenta de twitter para pedir a la comunidad internacional que utilice la fuerza para frenar “esta guerra bárbara contra civiles y bebés” también acusó a rusia de bloquear ayuda humanitaria y de entorpecer evacuaciones de civiles.kuleba también manifestó que “al menos de 3.000 bebés necesitan alimentos y medicinas” sus declaraciones llegaron después que las autoridades de la ciudad indicaran que queda comida para un periodo de tres a cinco días./ lmpt,https://lapatria.bo/2022/03/09/presidente-de-ucrania-condena-ataque-ruso-a-un-hospital/,lapatria.bo,a24cf19c54b6246224b9bd37ae30e97d,55,1935,6,180,"('sobre', 3)","('ciudad', 3)","('manifestó', 3)"
9,al menos 450 terroristas arriban a ucrania para luchar contra rusia,aproximadamente 450 terroristas de distintas nacionalidades llegaron en los recientes días a ucrania desde siria para luchar contra las fuerzas de rusia según reportaron el miércoles precedente desde la agencia de noticias sputnik.al mando de altos jefes del grupo terrorista hayat tahrir al-sham (hts) liderada por el frente al-nusra (autoproclamado frente fath al-sham) la semana anterior mantuvieron reuniones con altos cargos del partido islámico de turquestán los mismos asociados al grupo terrorista al- qaeda y acordaron que varios de sus combatientes ingresen a ucrania a través de suelo turco.por ahora suman aproximadamente 450 extranjeros combatientes que salieron de idlib siria rumbo a ucrania150 con ciudadanía bélgica francia marruecos túnez chechenia y el reino unido y otros 300 son locales sirios de idlib y alepo quienes llegaron a ucrania tres días después de haber abandonado el territorio sirio.asimismo estos mercenarios fueron reclutados para luchar contra el ejército y lucharán frente a rusia a cambio de sueldos se ofreció una recompensa de 1.200 a 1.500 dólares para los combatientes sirios pero no se sabe cuánto se pagara a los ciudadanos extranjeros.los informantes también indicaron que los combatientes llegaron a ucrania el domingo por la noche y desde entonces no se conoce su destino final en ucrania./abh,https://lapatria.bo/2022/03/09/al-menos-450-terroristas-arriban-a-ucrania-para-luchar-contra-rusia/,lapatria.bo,5c6aa257a2207cedbc10a098c784bbb5,67,1341,7,132,"('ucrania', 4)","('combatientes', 4)","('llegaron', 3)"
