title,contents,url
Rally Vuelta a Marbán Aprehenden a corredor que atropelló a un menor, El motociclista que atropelló a un menor de edad en el Rally Vuelta a Marbán fue aprehendido informó el director de Tránsito del Beni coronel Marcos Céspedes El conductor fue identificado como Antonio Chemo Cuellar de 33 años de edad arrolló al menor la tarde de este domingo cuando cruzaba la ruta del Rally en la población de Sachojere La competencia fue organizada por novena vez por la Asociación Beniana de Motociclismo y sus representantes aseguraron que están al pendiente del estado de salud tanto del menor como del motociclista Céspedes detalló que el conductor sufrió un TEC Leve y fractura de falange de tercer grado en la mano derecha y está internado en una clínica privada reportó la red Erbol “Él Chemo también se encuentra internado pero además se encuentra aprehendido por disposición del Ministerio Público” señaló El diagnóstico del menor es reservado sin embargo se conoce que fue intervenido quirúrgicamente en el hospital Obrero Sufrió un fuerte golpe en la cabeza y tiene una de sus piernas fracturadas El caso fue clasificado por la Dirección de Tránsito como Atropello a peatón en competencia deportiva “Sí se debe investigar porque hay lesiones gravísimas o graves y obviamente en el transcurso de la investigación se van a determinar las situaciones que se vayan a seguir posteriormente No porque nosotros hayamos visto que no hay responsabilidad se va a dejar de investigar se tiene que investigar y si el caso amerita obviamente se va a archivar y se va a rechazar” manifestó el coronel /JDLF/,https://lapatria.bo/2022/03/21/rally-vuelta-a-marban-aprehenden-a-corredor-que-atropello-a-un-menor/
,,https://lapatria.bo/policial/contrabando/
Policía aprehende a Vladimir Irahola Villanueva presunto feminicida de Vania, La Policía informó que luego de un trabajo investigativo en poblaciones fronterizas del Beni se ha logrado aprehender a Vladimir Irahola Villanueva principal acusado del feminicidio de su pareja Vania Trujillo crimen ocurrido en febrero en la ciudad de La Paz “Informamos a la población que después de un arduo trabajo investigativo en poblaciones fronterizas del Beni nuestros servidores policiales procedieron a la aprehensión de Vladimir Irahola Villanueva principal acusado del feminicidio de su esposa Vania Trujillo” se lee en el comunicado de la policía en sus redes sociales El caso cobró relevancia después de que la activista María Galindo protestó en el Estado Mayor y la Fiscalía reclamando que se había dejado escapar a Vladimir Irahola presunto autor del feminicidio de Vania Trujillo El feminicidio se registró el 18 de febrero Según las investigaciones el autor del crimen quiso fingir que la víctima había fallecido por ingerir una sustancia tóxica pero se evidenció que fue estrangulada El padre del presunto feminicida de profesión militar fue aprehendido y enviado a la cárcel acusado de haber ayudado a escapar a su hijo Con el pasar de los días las investigaciones se volcaron al Beni donde vive un amigo del principal sospechoso quien aparentemente sabía del crimen y cobijó al presunto feminicida por lo cual fue aprehendido Vladimir Irahola se comunicó con su amigo Moisés quien se encontraba en Beni y le contó que le quitó la vida a su pareja El amigo le pidió fotos y ambos se enviaron audios “Por eso que se llega a estas conversaciones y se tiene la aprehensión de Moisés Vaquero que sería el amigo a quien denominaba ‘Yunta o Bro’” afirmo la Coordinadora de la Fiscalía de La Paz Nilda Calle Vania Trujillo fue asesinada el 18 de febrero en la zona de Bajo San Antonio de la ciudad de La Paz presuntamente en manos de su concubino Vladimir de quien se presume que le puso en la boca un líquido usado para limpiar hornos y de esa forma hacer creer que la joven se suicidó sin embargo tras la autopsia se develó que el deceso fue por estrangulamiento /HNF/,https://lapatria.bo/2022/03/23/policia-aprehende-a-vladimir-irahola-villanueva-presunto-feminicida-de-vania/
,,https://lapatria.bo/policial/trata-y-trafico/
,,https://lapatria.bo/policial/transito/
,,https://lapatria.bo/policial/narcotrafico/
,,https://lapatria.bo/policial/judicial-policial/
,,https://lapatria.bo/policial/seguridad/
,,#
,,https://lapatria.bo/policial/violencia/
Ucrania y Rusia retoman diálogo en Turquía, Tras varios intentos fallidos ambas naciones pactaron una nueva ronda de diálogo para la siguiente semana los puntos clave de las negociaciones siguen siendo la inclusión de Ucrania a la Organización del Tratado del Atlántico Norte OTAN su posterior desarme y el estatus de Crimea Delegados de Ucrania y Rusia tienen previsto reunirse de nuevo en el transcurso de esta semana de manera presencial el escenario de las negociaciones será Turquía según lo anunciado por ambas delegaciones Los presidentes de Turquía Recep Tayyip Erdogan y de Rusia Vladimir Putin acordaron celebrar la siguiente ronda de negociaciones entre las delegaciones rusa y ucraniana en Estambul declaró la presidencia turca en un comunicado Erdogan le aseguró a Putin que Turquía estaba dispuesta a hacer las contribuciones necesarias para establecer un alto el fuego en Ucrania y mejorar la condición humanitaria en la región “Durante las discusiones por videoconferencia de hoy se decidió celebrar la próxima ronda cara a cara en Turquía del 28 al 30 de marzo” dijo el negociador ucraniano David Arakhamia citado por la agencia de noticias AFP En cambio el jefe de los negociadores rusos Vladimir Medinsky confirmó que habrá una nueva ronda de conversaciones pero dijo que se realizarán el martes y el miércoles aunque no precisó dónde Las conversaciones entre ambas delegaciones comenzaron el 28 de febrero apenas cuatro días después del inicio de las operaciones militares el primer encuentro fue en Bielorrusia en lo que acordaron entre otras cosas la apertura de corredores humanitarios para evacuar civiles Posteriormente el 10 de marzo los cancilleres de Ucrania y Rusia Dmytro Kuleba y Serguei Lavrov se encontraron en Antalya Turquía junto a su par turco Mevlut Cavusoglu Hasta ahora ese fue el único contacto directo entre los cancilleres de las dos partes del conflicto Entre los seis puntos en debate figuran la renuncia de Ucrania a su deseo de incorporarse a la OTAN y el desarme de ese país además de las garantías de seguridad recíprocas con Rusia Las delegaciones también discutieron sobre el reclamo de Rusia para la eliminación de elementos ultranacionalistas en el gobierno de Kiev lo que Moscú llama “desnazificación” y el levantamiento de las restricciones sobre el uso del idioma ruso en Ucrania / LMPT,https://lapatria.bo/2022/03/27/ucrania-y-rusia-retoman-dialogo-en-turquia/
